Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
TCP Sampler,100000,0,0,1,1,2,0,67,0.000%,1000.05000,29.30,0.00
TOTAL,100000,0,0,1,1,2,0,67,0.000%,1000.05000,29.30,0.00
