timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1751619128455,0,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11242,,false,,0,0,3,3,null,0,0,0
1751619128458,0,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11245,,false,,0,0,1,1,null,0,0,0
1751619128459,0,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11246,,false,,0,0,2,2,null,0,0,0
1751619128459,0,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11247,,false,,0,0,2,2,null,0,0,0
1751619128460,1,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11248,,false,,0,0,1,1,null,0,0,1
1751619128461,1,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11249,,false,,0,0,2,2,null,0,0,1
1751619128461,1,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11250,,false,,0,0,2,2,null,0,0,1
1751619128463,1,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11251,,false,,0,0,1,1,null,0,0,1
1751619128464,1,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11252,,false,,0,0,1,1,null,0,0,1
1751619128467,1,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11254,,false,,0,0,2,2,null,0,0,1
1751619128467,1,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11253,,false,,0,0,2,2,null,0,0,1
1751619128468,0,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11257,,false,,0,0,1,1,null,0,0,0
1751619128469,0,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11258,,false,,0,0,1,1,null,0,0,0
1751619128470,1,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11259,,false,,0,0,2,2,null,0,0,1
1751619128470,1,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11256,,false,,0,0,2,2,null,0,0,1
1751619128472,0,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11255,,false,,0,0,1,1,null,0,0,0
1751619128473,0,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11260,,false,,0,0,1,1,null,0,0,0
1751619128474,1,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11261,,false,,0,0,2,2,null,0,0,1
1751619128474,1,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11262,,false,,0,0,2,2,null,0,0,1
1751619128475,1,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11263,,false,,0,0,1,1,null,0,0,1
1751619128477,0,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11264,,false,,0,0,1,1,null,0,0,0
1751619128478,0,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11265,,false,,0,0,1,1,null,0,0,0
1751619128479,0,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11267,,false,,0,0,2,2,null,0,0,0
1751619128479,0,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11266,,false,,0,0,2,2,null,0,0,0
1751619128481,1,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11268,,false,,0,0,2,2,null,0,0,1
1751619128481,1,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11269,,false,,0,0,2,2,null,0,0,1
1751619128482,0,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11270,,false,,0,0,1,1,null,0,0,0
1751619128484,1,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11272,,false,,0,0,1,1,null,0,0,1
1751619128486,0,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11273,,false,,0,0,1,1,null,0,0,0
1751619128487,0,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11275,,false,,0,0,2,2,null,0,0,0
1751619128487,0,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11274,,false,,0,0,2,2,null,0,0,0
1751619128488,1,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11271,,false,,0,0,2,2,null,0,0,1
1751619128488,1,TCP Sampler,500,java.net.ConnectException: Connection refused: connect,Thread Group 1-11276,,false,,0,0,2,2,null,0,0,1
