Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
TCP Sampler,60000,1917,1116,3258,4105,21359,0,22909,30.287%,746.26866,15.31,0.00
TOTAL,60000,1917,1116,3258,4105,21359,0,22909,30.287%,746.26866,15.31,0.00
